"File","Line","Comment"
"temp_monitor.ps1","93","# Info/Warning"
"temp_monitor.ps1","102","# Logic"
"temp_monitor.ps1","104","# 1. CPU Load (Easy)"
"temp_monitor.ps1","110","# Colorize load"
"temp_monitor.ps1","115","# 2. Temps (Hard - MSAcpi_ThermalZoneTemperature is usually in Kelvin x 10)"
"temp_monitor.ps1","116","# 273.15 K = 0 C.   (Temp - 2732) / 10"
"temp_monitor.ps1","122","# Take max temp found as CPU approximation"
"temp_monitor.ps1","144","# 3. GPU (Only works if Nvidia/AMD drivers expose WMI or via special tools, usually standard WMI doesn't show GPU temp easily)"
"temp_monitor.ps1","145","# Placeholder for now unless we find a specific provider."
"timer.ps1","1","# widgets/timer/timer.ps1"
"timer.ps1","2","# Advanced Timer Widget"
"timer.ps1","6","# Paths"
"timer.ps1","13","# Load Core"
"timer.ps1","22","# Theme"
"timer.ps1","26","# Orange for Timer"
"timer.ps1","31","# Create Widget Form"
"timer.ps1","32","# Default 2x1 size (Wide) for Timer to fit controls"
"timer.ps1","35","# Header"
"timer.ps1","39","# Inner Panel for Padding"
"timer.ps1","46","# State Variables"
"timer.ps1","47","# Default 5 mins"
"timer.ps1","52","# --- UI Components ---"
"timer.ps1","54","# Time Display (HH:mm:ss)"
"timer.ps1","55","# Using a custom paint/label for flexibility? No, Label is fine but we want interaction."
"timer.ps1","66","# Controls Panel (Bottom)"
"timer.ps1","72","# Start/Pause Button"
"timer.ps1","83","# Reset Button"
"timer.ps1","94","# Progress Overlay (Paint Event on Form)"
"timer.ps1","95","# We draw a thin line at the bottom or a circle?"
"timer.ps1","96","# Let's draw a progress bar at the very bottom of the time label."
"timer.ps1","99","# Hint: Scroll to change"
"timer.ps1","101","# $e.Graphics.DrawString(""Scroll to set"", ... small font ...)"
"timer.ps1","105","# --- Logic ---"
"timer.ps1","116","# Update function"
"timer.ps1","120","# Progress indication could go here"
"timer.ps1","123","# Maybe change color if low?"
"timer.ps1","129","# Ticker"
"timer.ps1","144","# Alarm / Flash"
"timer.ps1","147","# Flash Color"
"timer.ps1","156","# --- Interactions ---"
"timer.ps1","158","# Edit Time (Click)"
"timer.ps1","184","# Presets Menu (Right Click on Label)"
"timer.ps1","203","# Toggle Start/Pause"
"timer.ps1","206","# Reset if 0"
"timer.ps1","223","# Resume color"
"timer.ps1","227","# Reset"
"timer.ps1","238","# Scroll to Set (Mouse Wheel)"
"timer.ps1","243","# Delta usually 120 per notch."
"timer.ps1","246","# Check if shift held for larger increments?"
"timer.ps1","248","# Minutes"
"timer.ps1","251","# 10 Seconds"
"timer.ps1","260","# Save default?"
"timer.ps1","263","# Ensure Timer focus for wheel events"
"timer.ps1","266","# Initial Render"
"timer.ps1","269","# Enable Drag & Context Menu"
"timer.ps1","270","# Add resize support too!"
"timer.ps1","275","# Run"
